ID,Customer_ID,Customer_Name_ID,Segment
1,AA-10315102,21,1
2,AA-10315120,21,1
3,AA-10315139,21,1
4,AA-103151402,21,1
5,AA-103151404,21,1
6,AA-103151406,21,1
7,AA-1031545,21,1
8,AA-1031548,21,1
9,AA-1031558,21,1
10,AA-103157,21,1
11,AA-1031582,21,1
12,AA-103751,25,1
13,AA-10375101,25,1
14,AA-103751402,25,1
15,AA-103751404,25,1
16,AA-103751406,25,1
17,AA-103751408,25,1
18,AA-1037545,25,1
19,AA-103755,25,1
20,AA-1037554,25,1
21,AA-1037558,25,1
22,AA-1037564,25,1
23,AA-103757,25,1
24,AA-1037582,25,1
25,AA-1037592,25,1
26,AA-10480101,32,1
27,AA-10480102,32,1
28,AA-10480130,32,1
29,AA-10480139,32,1
30,AA-104801402,32,1
31,AA-104801406,32,1
32,AA-104801408,32,1
33,AA-1048031,32,1
34,AA-1048045,32,1
35,AA-1048048,32,1
36,AA-1048059,32,1
37,AA-104807,32,1
38,AA-1048082,32,1
39,AA-1048096,32,1
40,AA-1064511,43,1
41,AA-10645139,43,1
42,AA-106451402,43,1
43,AA-106451404,43,1
44,AA-106451406,43,1
45,AA-106451408,43,1
46,AA-1064518,43,1
47,AA-1064531,43,1
48,AA-1064536,43,1
49,AA-1064545,43,1
50,AA-106455,43,1
51,AA-1064556,43,1
52,AA-1064558,43,1
53,AA-1064559,43,1
54,AA-1064564,43,1
55,AA-106457,43,1
56,AA-1064578,43,1
57,AA-106458,43,1
58,AA-1064582,43,1
59,AA-1064593,43,1
60,AA-1064598,43,1
61,AA-315108,21,1
62,AA-31513,21,1
63,AA-315134,21,1
64,AA-315137,21,1
65,AA-31552,21,1
66,AA-375103,25,1
67,AA-375110,25,1
68,AA-375134,25,1
69,AA-375146,25,1
70,AA-37515,25,1
71,AA-37523,25,1
72,AA-37569,25,1
73,AA-37595,25,1
74,AA-480137,32,1
75,AA-48023,32,1
76,AA-4803,32,1
77,AA-4804,32,1
78,AA-48075,32,1
79,AA-645117,43,1
80,AA-645137,43,1
81,AA-6453,43,1
82,AA-64561,43,1
83,AA-64570,43,1
84,AA-64574,43,1
85,AA-64586,43,1
86,AA-64595,43,1
87,AB-10015130,1,1
88,AB-10015139,1,1
89,AB-100151402,1,1
90,AB-100151404,1,1
91,AB-10015144,1,1
92,AB-1001518,1,1
93,AB-1001527,1,1
94,AB-1001539,1,1
95,AB-1001545,1,1
96,AB-1001548,1,1
97,AB-100155,1,1
98,AB-1001551,1,1
99,AB-1001558,1,1
100,AB-1001559,1,1
101,AB-1001564,1,1
102,AB-100157,1,1
103,AB-1001582,1,1
104,AB-1001591,1,1
105,AB-1001593,1,1
106,AB-10060102,4,3
107,AB-10060107,4,3
108,AB-10060113,4,3
109,AB-10060117,4,3
110,AB-10060134,4,3
111,AB-10060139,4,3
112,AB-100601402,4,3
113,AB-100601404,4,3
114,AB-100601406,4,3
115,AB-100601408,4,3
116,AB-10060147,4,3
117,AB-1006027,4,3
118,AB-1006028,4,3
119,AB-1006036,4,3
120,AB-1006039,4,3
121,AB-1006045,4,3
122,AB-100605,4,3
123,AB-1006051,4,3
124,AB-1006055,4,3
125,AB-1006059,4,3
126,AB-1006061,4,3
127,AB-100607,4,3
128,AB-1006075,4,3
129,AB-1006082,4,3
130,AB-1006086,4,3
131,AB-1006091,4,3
132,AB-1006092,4,3
133,AB-1006096,4,3
134,AB-1006098,4,3
135,AB-10105101,7,1
136,AB-10105120,7,1
137,AB-101051402,7,1
138,AB-101051404,7,1
139,AB-101051406,7,1
140,AB-101051408,7,1
141,AB-1010518,7,1
142,AB-1010528,7,1
143,AB-1010545,7,1
144,AB-1010548,7,1
145,AB-101055,7,1
146,AB-1010555,7,1
147,AB-1010558,7,1
148,AB-1010562,7,1
149,AB-1010564,7,1
150,AB-101057,7,1
151,AB-1010582,7,1
152,AB-10150118,10,1
153,AB-10150120,10,1
154,AB-10150139,10,1
155,AB-101501402,10,1
156,AB-101501406,10,1
157,AB-10150143,10,1
158,AB-1015027,10,1
159,AB-1015036,10,1
160,AB-1015039,10,1
161,AB-1015045,10,1
162,AB-1015055,10,1
163,AB-101507,10,1
164,AB-1015082,10,1
165,AB-1015093,10,1
166,AB-10165113,11,1
167,AB-10165139,11,1
168,AB-101651402,11,1
169,AB-101651404,11,1
170,AB-101651406,11,1
171,AB-101651408,11,1
172,AB-1016531,11,1
173,AB-1016545,11,1
174,AB-1016548,11,1
175,AB-1016551,11,1
176,AB-1016558,11,1
177,AB-101657,11,1
178,AB-1016582,11,1
179,AB-10255139,17,3
180,AB-102551402,17,3
181,AB-102551404,17,3
182,AB-102551406,17,3
183,AB-102551408,17,3
184,AB-10255144,17,3
185,AB-1025518,17,3
186,AB-1025527,17,3
187,AB-1025531,17,3
188,AB-1025536,17,3
189,AB-1025545,17,3
190,AB-1025548,17,3
191,AB-1025558,17,3
192,AB-1025564,17,3
193,AB-102557,17,3
194,AB-1025582,17,3
195,AB-1025598,17,3
196,AB-105134,7,1
197,AB-105137,7,1
198,AB-10523,7,1
199,AB-10532,7,1
200,AB-10533,7,1
201,AB-10549,7,1
202,AB-10600104,40,2
203,AB-10600130,40,2
204,AB-106001402,40,2
205,AB-106001404,40,2
206,AB-106001408,40,2
207,AB-1060021,40,2
208,AB-1060027,40,2
209,AB-1060028,40,2
210,AB-1060045,40,2
211,AB-1060048,40,2
212,AB-1060051,40,2
213,AB-1060058,40,2
214,AB-1060059,40,2
215,AB-1060064,40,2
216,AB-106007,40,2
217,AB-1060082,40,2
218,AB-1060091,40,2
219,AB-1060097,40,2
220,AB-150134,10,1
221,AB-150137,10,1
222,AB-15060,10,1
223,AB-15137,1,1
224,AB-15146,1,1
225,AB-1522,1,1
226,AB-1560,1,1
227,AB-165103,11,1
228,AB-165134,11,1
229,AB-16523,11,1
230,AB-16594,11,1
231,AB-255117,17,3
232,AB-255134,17,3
233,AB-25523,17,3
234,AB-25533,17,3
235,AB-25549,17,3
236,AB-25560,17,3
237,AB-25586,17,3
238,AB-600103,40,2
239,AB-600131,40,2
240,AB-60042,40,2
241,AB-60086,40,2
242,AC-10420102,28,2
243,AC-10420120,28,2
244,AC-10420130,28,2
245,AC-10420139,28,2
246,AC-104201402,28,2
247,AC-104201404,28,2
248,AC-104201406,28,2
249,AC-1042018,28,2
250,AC-1042027,28,2
251,AC-1042031,28,2
252,AC-1042039,28,2
253,AC-1042045,28,2
254,AC-1042048,28,2
255,AC-104207,28,2
256,AC-1042082,28,2
257,AC-10450139,30,1
258,AC-104501402,30,1
259,AC-104501404,30,1
260,AC-104501406,30,1
261,AC-104501408,30,1
262,AC-10450143,30,1
263,AC-1045036,30,1
264,AC-1045045,30,1
265,AC-1045048,30,1
266,AC-1045058,30,1
267,AC-1045059,30,1
268,AC-104507,30,1
269,AC-10615124,41,2
270,AC-10615139,41,2
271,AC-106151402,41,2
